,0,1,drug concentration
0,276.5,276.5,0.1
1,276.6,276.6,0.20691380811147897
2,276.70000000000005,276.70000000000005,0.42813323987193935
3,277.0,277.0,0.8858667904100825
4,277.40000000000003,277.40000000000003,1.8329807108324356
5,278.3,278.3,3.79269019073225
6,279.8,279.8,7.847599703514611
7,282.6,282.6,16.23776739188721
8,287.70000000000005,287.70000000000005,33.59818286283781
9,296.70000000000005,296.70000000000005,69.51927961775606
10,312.40000000000003,312.40000000000003,143.8449888287663
11,338.8,338.8,297.6351441631316
12,380.6,380.6,615.8482110660261
13,440.5,440.5,1274.2749857031322
14,513.7,513.7,2636.6508987303555
15,589.5,589.5,5455.594781168515
16,661.5,661.5,11288.378916846883
17,1000.0,421.1,23357.21469090121
18,1000.0,410.5,48329.30238571752
19,1000.0,407.40000000000003,100000.0
