,pulse 0,pulse 1,drug concentration
0,260.23,260.23,0.1
1,260.28000000000003,260.28000000000003,0.20691380811147897
2,260.39,260.39,0.42813323987193935
3,260.61,260.61,0.8858667904100825
4,261.08,261.08,1.8329807108324356
5,262.05,262.05,3.79269019073225
6,264.05,264.05,7.847599703514611
7,268.13,268.13,16.23776739188721
8,276.29,276.29,33.59818286283781
9,291.97,291.97,69.51927961775606
10,320.06,320.06,143.8449888287663
11,365.23,365.23,297.6351441631316
12,428.54,428.54,615.8482110660261
13,505.51,505.51,1274.2749857031322
14,588.5600000000001,588.5600000000001,2636.6508987303555
15,671.79,671.79,5455.594781168515
16,1000.0,421.73,11288.378916846883
17,1000.0,410.95,23357.21469090121
18,1000.0,408.97,48329.30238571752
19,1000.0,409.15000000000003,100000.0
