,pulse 0,pulse 1,drug concentration
0,260.25,260.25,0.1
1,260.32,260.32,0.20691380811147897
2,260.44,260.44,0.42813323987193935
3,260.66,260.66,0.8858667904100825
4,261.05,261.05,1.8329807108324356
5,261.79,261.78000000000003,3.79269019073225
6,263.12,263.12,7.847599703514611
7,265.53000000000003,265.53000000000003,16.23776739188721
8,269.87,269.87,33.59818286283781
9,277.52,277.52,69.51927961775606
10,290.62,290.62,143.8449888287663
11,312.0,312.0,297.6351441631316
12,344.52,344.52,615.8482110660261
13,389.76,389.75,1274.2749857031322
14,446.69,446.69,2636.6508987303555
15,511.82000000000005,511.82000000000005,5455.594781168515
16,580.6800000000001,580.6800000000001,11288.378916846883
17,649.91,649.91,23357.21469090121
18,1000.0,424.66,48329.30238571752
19,1000.0,416.41,100000.0
